fault_id,Fault_2248,Fault_16769,Fault_2843,Fault_3496,Fault_3498,Fault_2997,Fault_6205,Fault_12645,Fault_12647,Fault_12658,Fault_12660,Fault_15552
Fault_2248,0,1,0,0,0,0,0,0,0,0,0,0
Fault_16769,0,0,0,0,0,0,0,0,0,0,0,0
Fault_2843,0,0,0,0,0,0,0,0,0,0,0,0
Fault_3496,0,0,0,0,0,0,0,0,0,0,0,0
Fault_3498,0,0,0,0,0,1,0,0,0,0,0,0
Fault_2997,0,0,0,0,0,0,0,0,0,0,0,0
Fault_6205,0,0,0,0,0,0,0,0,0,0,0,0
Fault_12645,0,0,0,0,0,0,0,0,0,0,0,0
Fault_12647,0,0,0,0,0,0,0,0,0,0,0,0
Fault_12658,0,0,0,0,0,0,0,0,0,0,0,0
Fault_12660,0,0,0,0,0,0,0,0,0,0,0,1
Fault_15552,0,0,0,0,0,0,0,0,0,0,0,0
