index,group number,index in group,number in group,code,group,uctype,colour
1,1,1,1,Turee_Creek_Group,Turee_Creek_Group,erode,#E0CABF
2,2,1,7,Boolgeeda_Iron_Formation,Hamersley_Group,erode,#B5E1FC
3,2,2,7,Woongarra_Rhyolite,Hamersley_Group,erode,#CAA894
4,2,3,7,Weeli_Wolli_Formation,Hamersley_Group,erode,#E0CABF
5,2,4,7,Brockman_Iron_Formation,Hamersley_Group,erode,#84CDFA
6,2,5,7,Mount_McRae_Shale_and_Mount_Sylvia_Formation,Hamersley_Group,erode,#B6846A
7,2,6,7,Wittenoom_Formation,Hamersley_Group,erode,#E0CABF
8,2,7,7,Marra_Mamba_Iron_Formation,Hamersley_Group,erode,#B5E1FC
9,3,1,3,Jeerinah_Formation,Fortescue_Group,erode,#CDCFA7
10,3,2,3,Fortescue_Group,Fortescue_Group,erode,#8EE4B4
11,3,3,3,Bunjinah_Formation,Fortescue_Group,erode,#E6E7D3
